Year,Region,Region Code,Industry,Industry Code,Measure,Gas type,Value,Value Unit,Value Label,Null Reason
2013,Canterbury,Canterbury Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,437.06,number,Kilotonnes of CO2 equivalent,
2014,Canterbury,Canterbury Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,428.24,number,Kilotonnes of CO2 equivalent,
2015,Canterbury,Canterbury Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,477.22,number,Kilotonnes of CO2 equivalent,
2016,Canterbury,Canterbury Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,442.43,number,Kilotonnes of CO2 equivalent,
2017,Canterbury,Canterbury Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,457.39,number,Kilotonnes of CO2 equivalent,
2018,Canterbury,Canterbury Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,485.4,number,Kilotonnes of CO2 equivalent,
2007,Gisborne,Gisborne Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,25.37,number,Kilotonnes of CO2 equivalent,
2008,Gisborne,Gisborne Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,25.34,number,Kilotonnes of CO2 equivalent,
2009,Gisborne,Gisborne Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,24.62,number,Kilotonnes of CO2 equivalent,
2010,Gisborne,Gisborne Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,25.44,number,Kilotonnes of CO2 equivalent,
2011,Gisborne,Gisborne Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,24.74,number,Kilotonnes of CO2 equivalent,
2012,Gisborne,Gisborne Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,21.6,number,Kilotonnes of CO2 equivalent,
2013,Gisborne,Gisborne Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,19.94,number,Kilotonnes of CO2 equivalent,
2014,Gisborne,Gisborne Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,18.67,number,Kilotonnes of CO2 equivalent,
2015,Gisborne,Gisborne Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,19.41,number,Kilotonnes of CO2 equivalent,
2016,Gisborne,Gisborne Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,18.64,number,Kilotonnes of CO2 equivalent,
2017,Gisborne,Gisborne Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,18.72,number,Kilotonnes of CO2 equivalent,
2018,Gisborne,Gisborne Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,20.02,number,Kilotonnes of CO2 equivalent,
2007,Hawke's Bay,Hawke's Bay Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,68.17,number,Kilotonnes of CO2 equivalent,
2008,Hawke's Bay,Hawke's Bay Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,68.54,number,Kilotonnes of CO2 equivalent,
2009,Hawke's Bay,Hawke's Bay Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,63.06,number,Kilotonnes of CO2 equivalent,
2010,Hawke's Bay,Hawke's Bay Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,62.03,number,Kilotonnes of CO2 equivalent,
2011,Hawke's Bay,Hawke's Bay Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,62.7,number,Kilotonnes of CO2 equivalent,
2012,Hawke's Bay,Hawke's Bay Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,62.06,number,Kilotonnes of CO2 equivalent,
2013,Hawke's Bay,Hawke's Bay Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,68.52,number,Kilotonnes of CO2 equivalent,
2014,Hawke's Bay,Hawke's Bay Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,64.74,number,Kilotonnes of CO2 equivalent,
2015,Hawke's Bay,Hawke's Bay Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,74.03,number,Kilotonnes of CO2 equivalent,
2016,Hawke's Bay,Hawke's Bay Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,76.24,number,Kilotonnes of CO2 equivalent,
2017,Hawke's Bay,Hawke's Bay Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,83.47,number,Kilotonnes of CO2 equivalent,
2018,Hawke's Bay,Hawke's Bay Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,85.02,number,Kilotonnes of CO2 equivalent,
2007,Manawatū-Whanganui,Manawatu-Wanganui Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,96.11,number,Kilotonnes of CO2 equivalent,
2008,Manawatū-Whanganui,Manawatu-Wanganui Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,101.08,number,Kilotonnes of CO2 equivalent,
2009,Manawatū-Whanganui,Manawatu-Wanganui Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,93.88,number,Kilotonnes of CO2 equivalent,
2010,Manawatū-Whanganui,Manawatu-Wanganui Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,96.81,number,Kilotonnes of CO2 equivalent,
2011,Manawatū-Whanganui,Manawatu-Wanganui Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,99.36,number,Kilotonnes of CO2 equivalent,
2012,Manawatū-Whanganui,Manawatu-Wanganui Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,92.66,number,Kilotonnes of CO2 equivalent,
2013,Manawatū-Whanganui,Manawatu-Wanganui Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,96.36,number,Kilotonnes of CO2 equivalent,
2014,Manawatū-Whanganui,Manawatu-Wanganui Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,94.82,number,Kilotonnes of CO2 equivalent,
2015,Manawatū-Whanganui,Manawatu-Wanganui Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,102.41,number,Kilotonnes of CO2 equivalent,
2016,Manawatū-Whanganui,Manawatu-Wanganui Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,103.5,number,Kilotonnes of CO2 equivalent,
2017,Manawatū-Whanganui,Manawatu-Wanganui Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,107.32,number,Kilotonnes of CO2 equivalent,
2018,Manawatū-Whanganui,Manawatu-Wanganui Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,113.79,number,Kilotonnes of CO2 equivalent,
2007,Marlborough,Marlborough Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,28.63,number,Kilotonnes of CO2 equivalent,
2008,Marlborough,Marlborough Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,28.85,number,Kilotonnes of CO2 equivalent,
2009,Marlborough,Marlborough Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,27.85,number,Kilotonnes of CO2 equivalent,
2010,Marlborough,Marlborough Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,28.64,number,Kilotonnes of CO2 equivalent,
2011,Marlborough,Marlborough Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,30.1,number,Kilotonnes of CO2 equivalent,
2012,Marlborough,Marlborough Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,27.71,number,Kilotonnes of CO2 equivalent,
2013,Marlborough,Marlborough Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,28.59,number,Kilotonnes of CO2 equivalent,
2014,Marlborough,Marlborough Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,26.74,number,Kilotonnes of CO2 equivalent,
2015,Marlborough,Marlborough Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,29.2,number,Kilotonnes of CO2 equivalent,
2016,Marlborough,Marlborough Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,28.3,number,Kilotonnes of CO2 equivalent,
2017,Marlborough,Marlborough Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,31.63,number,Kilotonnes of CO2 equivalent,
2018,Marlborough,Marlborough Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,29.66,number,Kilotonnes of CO2 equivalent,
2007,Northland,Northland Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,56.56,number,Kilotonnes of CO2 equivalent,
2008,Northland,Northland Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,58.93,number,Kilotonnes of CO2 equivalent,
2009,Northland,Northland Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,54.78,number,Kilotonnes of CO2 equivalent,
2010,Northland,Northland Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,53.63,number,Kilotonnes of CO2 equivalent,
2011,Northland,Northland Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,53.48,number,Kilotonnes of CO2 equivalent,
2012,Northland,Northland Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,52.14,number,Kilotonnes of CO2 equivalent,
2013,Northland,Northland Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,53.18,number,Kilotonnes of CO2 equivalent,
2014,Northland,Northland Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,48.58,number,Kilotonnes of CO2 equivalent,
2015,Northland,Northland Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,50.03,number,Kilotonnes of CO2 equivalent,
2016,Northland,Northland Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,49.14,number,Kilotonnes of CO2 equivalent,
2017,Northland,Northland Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,54.97,number,Kilotonnes of CO2 equivalent,
2018,Northland,Northland Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,55.75,number,Kilotonnes of CO2 equivalent,
2007,Otago,Otago Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,172.33,number,Kilotonnes of CO2 equivalent,
2008,Otago,Otago Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,180.06,number,Kilotonnes of CO2 equivalent,
2009,Otago,Otago Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,181.74,number,Kilotonnes of CO2 equivalent,
2010,Otago,Otago Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,180.05,number,Kilotonnes of CO2 equivalent,
2011,Otago,Otago Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,186.68,number,Kilotonnes of CO2 equivalent,
2012,Otago,Otago Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,180.13,number,Kilotonnes of CO2 equivalent,
2013,Otago,Otago Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,194.87,number,Kilotonnes of CO2 equivalent,
2014,Otago,Otago Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,189.45,number,Kilotonnes of CO2 equivalent,
2015,Otago,Otago Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,205.49,number,Kilotonnes of CO2 equivalent,
2016,Otago,Otago Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,209.76,number,Kilotonnes of CO2 equivalent,
2017,Otago,Otago Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,219.32,number,Kilotonnes of CO2 equivalent,
2018,Otago,Otago Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,243.58,number,Kilotonnes of CO2 equivalent,
2007,Southland,Southland Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,111.24,number,Kilotonnes of CO2 equivalent,
2008,Southland,Southland Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,108.4,number,Kilotonnes of CO2 equivalent,
2009,Southland,Southland Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,103.79,number,Kilotonnes of CO2 equivalent,
2010,Southland,Southland Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,101.26,number,Kilotonnes of CO2 equivalent,
2011,Southland,Southland Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,101.88,number,Kilotonnes of CO2 equivalent,
2012,Southland,Southland Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,97.26,number,Kilotonnes of CO2 equivalent,
2013,Southland,Southland Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,110.79,number,Kilotonnes of CO2 equivalent,
2014,Southland,Southland Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,104.28,number,Kilotonnes of CO2 equivalent,
2015,Southland,Southland Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,106.91,number,Kilotonnes of CO2 equivalent,
2016,Southland,Southland Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,96.8,number,Kilotonnes of CO2 equivalent,
2017,Southland,Southland Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,111.42,number,Kilotonnes of CO2 equivalent,
2018,Southland,Southland Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,105.16,number,Kilotonnes of CO2 equivalent,
2007,Taranaki,Taranaki Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,54.92,number,Kilotonnes of CO2 equivalent,
2008,Taranaki,Taranaki Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,54.74,number,Kilotonnes of CO2 equivalent,
2009,Taranaki,Taranaki Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,53.03,number,Kilotonnes of CO2 equivalent,
2010,Taranaki,Taranaki Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,51.61,number,Kilotonnes of CO2 equivalent,
2011,Taranaki,Taranaki Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,54.62,number,Kilotonnes of CO2 equivalent,
2012,Taranaki,Taranaki Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,52.89,number,Kilotonnes of CO2 equivalent,
2013,Taranaki,Taranaki Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,55.34,number,Kilotonnes of CO2 equivalent,
2014,Taranaki,Taranaki Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,63.34,number,Kilotonnes of CO2 equivalent,
2015,Taranaki,Taranaki Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,70.3,number,Kilotonnes of CO2 equivalent,
2016,Taranaki,Taranaki Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,71.23,number,Kilotonnes of CO2 equivalent,
2017,Taranaki,Taranaki Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,66.67,number,Kilotonnes of CO2 equivalent,
2018,Taranaki,Taranaki Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,67.87,number,Kilotonnes of CO2 equivalent,
2007,"Nelson, Tasman","Tasman, Nelson","Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,75.97,number,Kilotonnes of CO2 equivalent,
2008,"Nelson, Tasman","Tasman, Nelson","Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,71.9,number,Kilotonnes of CO2 equivalent,
2009,"Nelson, Tasman","Tasman, Nelson","Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,65.92,number,Kilotonnes of CO2 equivalent,
2010,"Nelson, Tasman","Tasman, Nelson","Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,67.13,number,Kilotonnes of CO2 equivalent,
2011,"Nelson, Tasman","Tasman, Nelson","Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,71.35,number,Kilotonnes of CO2 equivalent,
2012,"Nelson, Tasman","Tasman, Nelson","Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,67.1,number,Kilotonnes of CO2 equivalent,
2013,"Nelson, Tasman","Tasman, Nelson","Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,72.91,number,Kilotonnes of CO2 equivalent,
2014,"Nelson, Tasman","Tasman, Nelson","Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,74.07,number,Kilotonnes of CO2 equivalent,
2015,"Nelson, Tasman","Tasman, Nelson","Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,80.22,number,Kilotonnes of CO2 equivalent,
2016,"Nelson, Tasman","Tasman, Nelson","Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,83.8,number,Kilotonnes of CO2 equivalent,
2017,"Nelson, Tasman","Tasman, Nelson","Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,81.87,number,Kilotonnes of CO2 equivalent,
2018,"Nelson, Tasman","Tasman, Nelson","Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,84.11,number,Kilotonnes of CO2 equivalent,
2007,Waikato,Waikato Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,152.06,number,Kilotonnes of CO2 equivalent,
2008,Waikato,Waikato Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,160.25,number,Kilotonnes of CO2 equivalent,
2009,Waikato,Waikato Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,146.19,number,Kilotonnes of CO2 equivalent,
2010,Waikato,Waikato Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,156.07,number,Kilotonnes of CO2 equivalent,
2011,Waikato,Waikato Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,161.9,number,Kilotonnes of CO2 equivalent,
2012,Waikato,Waikato Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,157.73,number,Kilotonnes of CO2 equivalent,
2013,Waikato,Waikato Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,161.56,number,Kilotonnes of CO2 equivalent,
2014,Waikato,Waikato Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,152.97,number,Kilotonnes of CO2 equivalent,
2015,Waikato,Waikato Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,162.73,number,Kilotonnes of CO2 equivalent,
2016,Waikato,Waikato Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,155.47,number,Kilotonnes of CO2 equivalent,
2017,Waikato,Waikato Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,158.71,number,Kilotonnes of CO2 equivalent,
2018,Waikato,Waikato Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,169.68,number,Kilotonnes of CO2 equivalent,
2007,Wellington,Wellington Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,302.41,number,Kilotonnes of CO2 equivalent,
2008,Wellington,Wellington Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,316.97,number,Kilotonnes of CO2 equivalent,
2009,Wellington,Wellington Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,307.91,number,Kilotonnes of CO2 equivalent,
2010,Wellington,Wellington Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,298.23,number,Kilotonnes of CO2 equivalent,
2011,Wellington,Wellington Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,305.42,number,Kilotonnes of CO2 equivalent,
2012,Wellington,Wellington Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,284.24,number,Kilotonnes of CO2 equivalent,
2013,Wellington,Wellington Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,304.29,number,Kilotonnes of CO2 equivalent,
2014,Wellington,Wellington Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,270.78,number,Kilotonnes of CO2 equivalent,
2015,Wellington,Wellington Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,311.31,number,Kilotonnes of CO2 equivalent,
2016,Wellington,Wellington Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,273.78,number,Kilotonnes of CO2 equivalent,
2017,Wellington,Wellington Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,284.39,number,Kilotonnes of CO2 equivalent,
2018,Wellington,Wellington Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,291.98,number,Kilotonnes of CO2 equivalent,
2007,West Coast,West Coast Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,26.74,number,Kilotonnes of CO2 equivalent,
2008,West Coast,West Coast Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,27.13,number,Kilotonnes of CO2 equivalent,
2009,West Coast,West Coast Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,27.2,number,Kilotonnes of CO2 equivalent,
2010,West Coast,West Coast Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,27.19,number,Kilotonnes of CO2 equivalent,
2011,West Coast,West Coast Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,29.75,number,Kilotonnes of CO2 equivalent,
2012,West Coast,West Coast Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,28.3,number,Kilotonnes of CO2 equivalent,
2013,West Coast,West Coast Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,28.1,number,Kilotonnes of CO2 equivalent,
2014,West Coast,West Coast Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,27.85,number,Kilotonnes of CO2 equivalent,
2015,West Coast,West Coast Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,26.43,number,Kilotonnes of CO2 equivalent,
2016,West Coast,West Coast Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,23.1,number,Kilotonnes of CO2 equivalent,
2017,West Coast,West Coast Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,22.86,number,Kilotonnes of CO2 equivalent,
2018,West Coast,West Coast Region,"Transport, postal and warehousing",I,Greenhouse gas emissions,Carbon dioxide equivalents,24.55,number,Kilotonnes of CO2 equivalent,
2007,Auckland,Auckland Region,Goods-producing industries,"C,D,E",Greenhouse gas emissions,Carbon dioxide equivalents,6717.64,number,Kilotonnes of CO2 equivalent,
2008,Auckland,Auckland Region,Goods-producing industries,"C,D,E",Greenhouse gas emissions,Carbon dioxide equivalents,6240.22,number,Kilotonnes of CO2 equivalent,
2009,Auckland,Auckland Region,Goods-producing industries,"C,D,E",Greenhouse gas emissions,Carbon dioxide equivalents,5459.94,number,Kilotonnes of CO2 equivalent,
2010,Auckland,Auckland Region,Goods-producing industries,"C,D,E",Greenhouse gas emissions,Carbon dioxide equivalents,5820.09,number,Kilotonnes of CO2 equivalent,
2011,Auckland,Auckland Region,Goods-producing industries,"C,D,E",Greenhouse gas emissions,Carbon dioxide equivalents,5468.75,number,Kilotonnes of CO2 equivalent,
2012,Auckland,Auckland Region,Goods-producing industries,"C,D,E",Greenhouse gas emissions,Carbon dioxide equivalents,5358.74,number,Kilotonnes of CO2 equivalent,
2013,Auckland,Auckland Region,Goods-producing industries,"C,D,E",Greenhouse gas emissions,Carbon dioxide equivalents,5847.38,number,Kilotonnes of CO2 equivalent,
2014,Auckland,Auckland Region,Goods-producing industries,"C,D,E",Greenhouse gas emissions,Carbon dioxide equivalents,5784.71,number,Kilotonnes of CO2 equivalent,
2015,Auckland,Auckland Region,Goods-producing industries,"C,D,E",Greenhouse gas emissions,Carbon dioxide equivalents,5801.29,number,Kilotonnes of CO2 equivalent,
2016,Auckland,Auckland Region,Goods-producing industries,"C,D,E",Greenhouse gas emissions,Carbon dioxide equivalents,5179.41,number,Kilotonnes of CO2 equivalent,
2017,Auckland,Auckland Region,Goods-producing industries,"C,D,E",Greenhouse gas emissions,Carbon dioxide equivalents,5268.5,number,Kilotonnes of CO2 equivalent,
2018,Auckland,Auckland Region,Goods-producing industries,"C,D,E",Greenhouse gas emissions,Carbon dioxide equivalents,5042.83,number,Kilotonnes of CO2 equivalent,
2007,Bay of Plenty,Bay of Plenty Region,Goods-producing industries,"C,D,E",Greenhouse gas emissions,Carbon dioxide equivalents,578.26,number,Kilotonnes of CO2 equivalent,
2008,Bay of Plenty,Bay of Plenty Region,Goods-producing industries,"C,D,E",Greenhouse gas emissions,Carbon dioxide equivalents,650.01,number,Kilotonnes of CO2 equivalent,
2009,Bay of Plenty,Bay of Plenty Region,Goods-producing industries,"C,D,E",Greenhouse gas emissions,Carbon dioxide equivalents,677.22,number,Kilotonnes of CO2 equivalent,
2010,Bay of Plenty,Bay of Plenty Region,Goods-producing industries,"C,D,E",Greenhouse gas emissions,Carbon dioxide equivalents,657.01,number,Kilotonnes of CO2 equivalent,
2011,Bay of Plenty,Bay of Plenty Region,Goods-producing industries,"C,D,E",Greenhouse gas emissions,Carbon dioxide equivalents,616.18,number,Kilotonnes of CO2 equivalent,
2012,Bay of Plenty,Bay of Plenty Region,Goods-producing industries,"C,D,E",Greenhouse gas emissions,Carbon dioxide equivalents,648.12,number,Kilotonnes of CO2 equivalent,
2013,Bay of Plenty,Bay of Plenty Region,Goods-producing industries,"C,D,E",Greenhouse gas emissions,Carbon dioxide equivalents,677.75,number,Kilotonnes of CO2 equivalent,
2014,Bay of Plenty,Bay of Plenty Region,Goods-producing industries,"C,D,E",Greenhouse gas emissions,Carbon dioxide equivalents,701.18,number,Kilotonnes of CO2 equivalent,
